Date,NAV,Fund_Name,Return,Inflation,Repo_Rate,Year,Month,Day,Net_FII_RsCrore,VIX
2022-04-01,66.7961,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.5360644826009842,7.79,0.04,2022.0,Apr,1.0,3527.0,19.63
2022-04-04,66.446,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.5241323969513156,7.79,0.04,2022.0,Apr,4.0,4087.0,18.57
2022-04-05,66.3405,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.1587755470607632,7.79,0.04,2022.0,Apr,5.0,1303.0,21.03
2022-04-06,65.9359,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.6098838567692444,7.79,0.04,2022.0,Apr,6.0,6738.0,22.1
2022-04-07,66.1591,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,0.3385105837639069,7.79,0.04,2022.0,Apr,7.0,-4149.0,21.55
2022-04-08,66.5114,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,0.53250422088571,7.79,0.04,2022.0,Apr,8.0,-3313.0,21.16
2022-04-11,67.6522,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,1.715194688429356,7.79,0.04,2022.0,Apr,11.0,6938.0,24.37
2022-04-12,67.6617,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,0.01404241103764026,7.79,0.04,2022.0,Apr,12.0,-2573.0,24.26
2022-04-13,69.2548,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,2.354507793921834,7.79,0.04,2022.0,Apr,13.0,4760.0,21.82
2022-04-18,69.6093,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,0.5118778770569099,7.79,0.04,2022.0,Apr,18.0,732.0,22.17
2022-04-19,70.0344,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,0.6106942606806776,7.79,0.04,2022.0,Apr,19.0,387.0,21.37
2022-04-20,68.4432,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-2.272026318494913,7.79,0.04,2022.0,Apr,20.0,3002.0,20.32
2022-04-21,67.2511,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-1.741736213385714,7.79,0.04,2022.0,Apr,21.0,536.0,22.68
2022-04-22,66.3662,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-1.315814908603707,7.79,0.04,2022.0,Apr,22.0,-1087.0,28.21
2022-04-25,65.029,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-2.014881068977903,7.79,0.04,2022.0,Apr,25.0,-620.0,27.02
2022-04-26,65.2531,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,0.3446154792477341,7.79,0.04,2022.0,Apr,26.0,5636.0,33.52
2022-04-27,64.9035,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.5357599868818674,7.79,0.04,2022.0,Apr,27.0,-893.0,31.6
2022-04-28,64.0598,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-1.299929895922403,7.79,0.04,2022.0,Apr,28.0,726.0,29.99
2022-04-29,64.6153,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,0.8671584987777203,7.79,0.04,2022.0,Apr,29.0,-1627.0,33.4
2022-05-02,63.8203,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-1.230358754041228,7.79,0.04,2022.0,May,2.0,3945.0,32.34
2022-05-04,62.4443,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-2.156053794795709,7.79,0.044,2022.0,May,4.0,5966.0,25.42
2022-05-05,63.051,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,0.9715858773338804,7.79,0.044,2022.0,May,5.0,6088.0,31.2
2022-05-06,62.3589,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-1.097682828186708,7.79,0.044,2022.0,May,6.0,7377.0,30.19
2022-05-09,61.6053,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-1.208488283148035,7.79,0.044,2022.0,May,9.0,4817.0,34.75
2022-05-10,61.3924,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.3455871491576223,7.79,0.044,2022.0,May,10.0,6261.0,32.99
2022-05-11,61.2147,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.2894495084082127,7.79,0.044,2022.0,May,11.0,-4583.0,32.56
2022-05-12,60.1192,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-1.789602824158254,7.79,0.044,2022.0,May,12.0,3306.0,31.77
2022-05-13,58.9893,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-1.879432860051367,7.79,0.044,2022.0,May,13.0,3808.0,28.87
2022-05-16,60.0624,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,1.819143471782159,7.79,0.044,2022.0,May,16.0,-4175.0,27.47
2022-05-17,61.3395,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,2.126288659793829,7.79,0.044,2022.0,May,17.0,2668.0,26.1
2022-05-18,61.2021,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.2239992174699834,7.79,0.044,2022.0,May,18.0,745.0,30.96
2022-05-19,60.636,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Nippon India Mutual Fund_Nippon India Silver ETF_Nippon India Silver ETF_Net Asset Value,-0.924968260893011,7.79,0.044,2022.0,May,19.0,4708.0,29.35
