Date,NAV,Fund_Name,Return,Inflation,Repo_Rate,Year,Month,Day,Net_FII_RsCrore,VIX
2020-10-09,31.16,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,0.8087997411840853,7.61,0.04,2020.0,Oct,9.0,-2266.0,25.0
2020-10-12,31.05,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,-0.3530166880616137,7.61,0.04,2020.0,Oct,12.0,-3101.0,25.07
2020-10-13,31.0,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,-0.1610305958132052,7.61,0.04,2020.0,Oct,13.0,2734.0,26.07
2020-10-14,31.03,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,0.0967741935483879,7.61,0.04,2020.0,Oct,14.0,-3733.0,26.4
2020-10-15,30.35,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,-2.191427650660649,7.61,0.04,2020.0,Oct,15.0,-3472.0,26.97
2020-10-16,30.63,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,0.9225700164744666,7.61,0.04,2020.0,Oct,16.0,6394.0,27.41
2020-10-19,30.97,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,1.110022853411685,7.61,0.04,2020.0,Oct,19.0,3838.0,29.18
2020-10-20,31.08,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,0.355182434614143,7.61,0.04,2020.0,Oct,20.0,6080.0,29.35
2020-10-21,31.26,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,0.5791505791505891,7.61,0.04,2020.0,Oct,21.0,393.0,28.65
2020-10-22,31.21,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,-0.1599488163787632,7.61,0.04,2020.0,Oct,22.0,5627.0,28.11
2020-10-23,31.34,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_ICICI Prudential Mutual Fund_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)_ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)- Direct Plan - IDCW_Net Asset Value,0.4165331624479407,7.61,0.04,2020.0,Oct,23.0,3792.0,27.55
