Date,NAV,Fund_Name,Return,Inflation,Repo_Rate,Year,Month,Day,Net_FII_RsCrore,VIX
2020-10-09,24.724,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.5070422535211283,7.61,0.04,2020.0,Oct,9.0,-2266.0,25.0
2020-10-12,24.666,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.2345898721889617,7.61,0.04,2020.0,Oct,12.0,-3101.0,25.07
2020-10-13,24.503,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.6608286710451661,7.61,0.04,2020.0,Oct,13.0,2734.0,26.07
2020-10-14,24.491,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.04897359506998988,7.61,0.04,2020.0,Oct,14.0,-3733.0,26.4
2020-10-15,24.165,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-1.331101220856645,7.61,0.04,2020.0,Oct,15.0,-3472.0,26.97
2020-10-16,24.442,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.146285950755233,7.61,0.04,2020.0,Oct,16.0,6394.0,27.41
2020-10-19,24.368,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.3027575484821243,7.61,0.04,2020.0,Oct,19.0,3838.0,29.18
2020-10-20,24.399,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.1272160210111783,7.61,0.04,2020.0,Oct,20.0,6080.0,29.35
2020-10-21,24.493,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.3852616910529072,7.61,0.04,2020.0,Oct,21.0,393.0,28.65
2020-10-22,24.666,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.7063242559098626,7.61,0.04,2020.0,Oct,22.0,5627.0,28.11
2020-10-23,24.815,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.6040703802805414,7.61,0.04,2020.0,Oct,23.0,3792.0,27.55
2020-10-26,24.483,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-1.337900463429376,7.61,0.04,2020.0,Oct,26.0,3433.0,32.46
2020-10-27,24.818,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.36829636890905,7.61,0.04,2020.0,Oct,27.0,5233.0,33.35
2020-10-28,24.695,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.495608026432437,7.61,0.04,2020.0,Oct,28.0,6016.0,40.28
2020-10-29,24.615,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.3239522170479958,7.61,0.04,2020.0,Oct,29.0,2513.0,37.59
2020-10-30,24.744,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.5240706886045166,7.61,0.04,2020.0,Oct,30.0,-2388.0,38.02
2020-11-02,24.775,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.1252828968638875,7.61,0.04,2020.0,Nov,2.0,1235.0,37.13
2020-11-03,24.953,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.7184661957618577,7.61,0.04,2020.0,Nov,3.0,486.0,35.55
2020-11-04,25.164,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.8455897086522723,7.61,0.04,2020.0,Nov,4.0,2099.0,29.57
2020-11-05,25.618,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.804164679701148,7.61,0.04,2020.0,Nov,5.0,4670.0,27.58
2020-11-06,25.754,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.5308767273011217,7.61,0.04,2020.0,Nov,6.0,5748.0,24.86
2020-11-09,26.031,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.075561077890796,7.61,0.04,2020.0,Nov,9.0,3226.0,25.75
2020-11-10,25.873,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.6069686143444275,7.61,0.04,2020.0,Nov,10.0,-1848.0,24.8
2020-11-11,25.933,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.2319019827619506,7.61,0.04,2020.0,Nov,11.0,5147.0,23.45
2020-11-12,26.268,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.291790382909808,7.61,0.04,2020.0,Nov,12.0,-3415.0,25.35
2020-11-13,26.461,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.7347342774478349,7.61,0.04,2020.0,Nov,13.0,-1057.0,23.1
2020-11-17,26.836,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.417180000755836,7.61,0.04,2020.0,Nov,17.0,6653.0,22.71
2020-11-18,27.178,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.274407512296927,7.61,0.04,2020.0,Nov,18.0,5805.0,23.84
2020-11-19,27.118,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.2207667966737881,7.61,0.04,2020.0,Nov,19.0,-1157.0,23.11
2020-11-20,27.33,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.7817685670034713,7.61,0.04,2020.0,Nov,20.0,2989.0,23.7
2020-11-23,27.624,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.075740944017567,7.61,0.04,2020.0,Nov,23.0,1873.0,22.66
2020-11-24,27.868,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.8832898928468058,7.61,0.04,2020.0,Nov,24.0,675.0,21.64
2020-11-25,27.416,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-1.621931964977741,7.61,0.04,2020.0,Nov,25.0,-4839.0,21.25
2020-11-26,27.498,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.2990954187335859,7.61,0.04,2020.0,Nov,26.0,-703.0,21.25
2020-11-27,28.167,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,2.432904211215359,7.61,0.04,2020.0,Nov,27.0,5173.0,20.84
2020-12-01,28.396,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.8130081300812941,4.59,0.04,2020.0,Dec,1.0,2629.0,20.77
2020-12-02,28.649,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.8909705592337058,4.59,0.04,2020.0,Dec,2.0,6990.0,21.17
2020-12-03,28.737,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.3071660441900104,4.59,0.04,2020.0,Dec,3.0,4467.0,21.28
2020-12-04,28.944,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.7203257124960949,4.59,0.04,2020.0,Dec,4.0,-3984.0,20.79
2020-12-07,29.162,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.7531785516860179,4.59,0.04,2020.0,Dec,7.0,2892.0,21.3
2020-12-08,29.079,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.2846169672861887,4.59,0.04,2020.0,Dec,8.0,1863.0,20.68
2020-12-09,29.193,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.3920354895285305,4.59,0.04,2020.0,Dec,9.0,2916.0,22.27
2020-12-10,29.022,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.5857568595211249,4.59,0.04,2020.0,Dec,10.0,3529.0,22.52
2020-12-11,29.116,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.3238922196953986,4.59,0.04,2020.0,Dec,11.0,-4122.0,23.31
2020-12-14,29.269,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.525484269817289,4.59,0.04,2020.0,Dec,14.0,7185.0,24.72
2020-12-15,29.36,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.3109091530288044,4.59,0.04,2020.0,Dec,15.0,-141.0,22.89
2020-12-16,29.597,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.8072207084468763,4.59,0.04,2020.0,Dec,16.0,1331.0,22.5
2020-12-17,29.508,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.3007061526506094,4.59,0.04,2020.0,Dec,17.0,3571.0,21.93
2020-12-18,29.509,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.003388911481638779,4.59,0.04,2020.0,Dec,18.0,3684.0,21.57
