Date,NAV,Fund_Name,Return,Inflation,Repo_Rate,Year,Month,Day,Net_FII_RsCrore,VIX
2020-10-09,8.12,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,0.6195786864931607,7.61,0.04,2020.0,Oct,9.0,-2266.0,25.0
2020-10-12,8.07,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,-0.6157635467980205,7.61,0.04,2020.0,Oct,12.0,-3101.0,25.07
2020-10-13,7.99,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,-0.9913258983890949,7.61,0.04,2020.0,Oct,13.0,2734.0,26.07
2020-10-14,7.95,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,-0.5006257822277815,7.61,0.04,2020.0,Oct,14.0,-3733.0,26.4
2020-10-15,7.86,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,-1.132075471698113,7.61,0.04,2020.0,Oct,15.0,-3472.0,26.97
2020-10-16,7.98,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,1.526717557251911,7.61,0.04,2020.0,Oct,16.0,6394.0,27.41
2020-10-19,8.14,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,2.005012531328321,7.61,0.04,2020.0,Oct,19.0,3838.0,29.18
2020-10-20,8.06,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,-0.9828009828009798,7.61,0.04,2020.0,Oct,20.0,6080.0,29.35
2020-10-21,8.18,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,1.488833746898255,7.61,0.04,2020.0,Oct,21.0,393.0,28.65
2020-10-22,8.27,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Aditya Birla Sun Life Mutual Fund_Aditya Birla Sun Life PSU Equity Fund_Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW_Net Asset Value,1.100244498777503,7.61,0.04,2020.0,Oct,22.0,5627.0,28.11
