Date,NAV,Fund_Name,Return,Inflation,Repo_Rate,Year,Month,Day,Net_FII_RsCrore,VIX
2020-10-09,12.63,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-0.7075471698113178,7.61,0.04,2020.0,Oct,9.0,-2266.0,25.0
2020-10-12,12.54,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-0.7125890736342178,7.61,0.04,2020.0,Oct,12.0,-3101.0,25.07
2020-10-13,12.62,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.6379585326953707,7.61,0.04,2020.0,Oct,13.0,2734.0,26.07
2020-10-14,12.61,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-0.07923930269413404,7.61,0.04,2020.0,Oct,14.0,-3733.0,26.4
2020-10-15,12.39,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-1.744647105471842,7.61,0.04,2020.0,Oct,15.0,-3472.0,26.97
2020-10-16,12.52,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,1.049233252623072,7.61,0.04,2020.0,Oct,16.0,6394.0,27.41
2020-10-19,12.53,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.07987220447285281,7.61,0.04,2020.0,Oct,19.0,3838.0,29.18
2020-10-20,12.57,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.3192338387869142,7.61,0.04,2020.0,Oct,20.0,6080.0,29.35
2020-10-21,12.59,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.159108989657919,7.61,0.04,2020.0,Oct,21.0,393.0,28.65
2020-10-22,12.74,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,1.191421763304223,7.61,0.04,2020.0,Oct,22.0,5627.0,28.11
2020-10-23,12.78,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.3139717425431732,7.61,0.04,2020.0,Oct,23.0,3792.0,27.55
2020-10-26,12.65,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-1.01721439749608,7.61,0.04,2020.0,Oct,26.0,3433.0,32.46
2020-10-27,12.74,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.7114624505928813,7.61,0.04,2020.0,Oct,27.0,5233.0,33.35
2020-10-28,12.68,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-0.4709576138147598,7.61,0.04,2020.0,Oct,28.0,6016.0,40.28
2020-10-29,12.59,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-0.7097791798107211,7.61,0.04,2020.0,Oct,29.0,2513.0,37.59
2020-10-30,12.59,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.0,7.61,0.04,2020.0,Oct,30.0,-2388.0,38.02
2020-11-02,12.5,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-0.714853057982523,7.61,0.04,2020.0,Nov,2.0,1235.0,37.13
2020-11-03,12.57,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.5600000000000049,7.61,0.04,2020.0,Nov,3.0,486.0,35.55
2020-11-04,12.68,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.8750994431185211,7.61,0.04,2020.0,Nov,4.0,2099.0,29.57
2020-11-05,12.81,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,1.025236593059953,7.61,0.04,2020.0,Nov,5.0,4670.0,27.58
2020-11-06,12.85,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.3122560499609683,7.61,0.04,2020.0,Nov,6.0,5748.0,24.86
2020-11-09,12.97,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.9338521400778177,7.61,0.04,2020.0,Nov,9.0,3226.0,25.75
2020-11-10,12.88,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-0.6939090208172738,7.61,0.04,2020.0,Nov,10.0,-1848.0,24.8
2020-11-11,12.94,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.4658385093167627,7.61,0.04,2020.0,Nov,11.0,5147.0,23.45
2020-11-12,13.04,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.7727975270479082,7.61,0.04,2020.0,Nov,12.0,-3415.0,25.35
2020-11-13,13.16,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.920245398773023,7.61,0.04,2020.0,Nov,13.0,-1057.0,23.1
2020-11-17,13.33,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,1.2917933130699,7.61,0.04,2020.0,Nov,17.0,6653.0,22.71
2020-11-18,13.45,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,0.900225056264059,7.61,0.04,2020.0,Nov,18.0,5805.0,23.84
2020-11-19,13.41,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_Bandhan Mutual Fund_BANDHAN Small Cap Fund_BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH_Net Asset Value,-0.2973977695167274,7.61,0.04,2020.0,Nov,19.0,-1157.0,23.11
